iter	Passed	Remaining
0	157	157822
1	160	80093
2	162	53939
3	163	40805
4	165	32868
5	166	27580
6	168	23834
7	169	20965
8	170	18734
9	171	16973
10	173	15628
11	175	14483
12	177	13481
13	178	12599
14	180	11839
15	181	11161
16	182	10555
17	183	10019
18	184	9535
19	186	9133
20	187	8760
21	189	8415
22	190	8089
23	191	7787
24	192	7518
25	193	7267
26	195	7044
27	196	6826
28	197	6618
29	198	6433
30	200	6275
31	202	6111
32	203	5965
33	204	5819
34	206	5681
35	207	5547
36	208	5420
37	209	5299
38	210	5184
39	211	5078
40	213	4996
41	215	4904
42	216	4816
43	218	4739
44	219	4660
45	220	4576
46	221	4495
47	222	4418
48	223	4344
49	225	4279
50	227	4232
51	229	4176
52	230	4117
53	231	4059
54	232	4001
55	234	3945
56	235	3889
57	236	3835
58	237	3787
59	238	3740
60	240	3702
61	241	3660
62	243	3618
63	244	3574
64	245	3534
65	247	3496
66	248	3456
67	249	3416
68	250	3376
69	251	3340
70	252	3305
71	254	3275
72	255	3247
73	256	3214
74	258	3188
75	259	3159
76	261	3129
77	262	3098
78	263	3069
79	264	3039
80	265	3014
81	266	2987
82	267	2954
83	269	2941
84	271	2921
85	272	2898
86	273	2874
87	275	2851
88	276	2830
89	277	2808
90	279	2789
91	280	2767
92	281	2744
93	282	2726
94	285	2716
95	286	2701
96	288	2684
97	289	2665
98	290	2645
99	291	2625
100	292	2607
101	294	2589
102	295	2571
103	296	2553
104	298	2544
105	300	2534
106	301	2518
107	302	2501
108	304	2485
109	305	2469
110	306	2454
111	307	2438
112	309	2428
113	310	2412
114	311	2397
115	314	2395
116	315	2379
117	316	2366
118	317	2353
119	318	2339
120	320	2324
121	321	2310
122	322	2297
123	323	2284
124	324	2270
125	325	2257
126	326	2243
127	328	2235
128	329	2223
129	330	2213
130	332	2202
131	333	2190
132	334	2179
133	335	2167
134	336	2156
135	337	2144
136	338	2133
137	339	2121
138	341	2114
139	344	2116
140	345	2107
141	346	2096
142	349	2093
143	350	2083
144	351	2073
145	352	2062
146	353	2052
147	354	2041
148	356	2035
149	358	2029
150	359	2022
151	360	2013
152	362	2005
153	363	1996
154	364	1986
155	365	1977
156	366	1968
157	367	1960
158	368	1951
159	370	1942
160	371	1937
161	373	1932
162	375	1929
163	377	1924
164	378	1916
165	379	1908
166	381	1901
167	382	1894
168	384	1889
169	386	1885
170	387	1878
171	389	1874
172	390	1866
173	391	1859
174	392	1851
175	393	1843
176	394	1835
177	395	1827
178	396	1819
179	397	1812
180	399	1807
181	401	1806
182	403	1800
183	404	1793
184	405	1786
185	406	1778
186	407	1771
187	408	1764
188	409	1757
189	410	1750
190	411	1743
191	412	1736
192	415	1735
193	416	1730
194	417	1725
195	419	1721
196	420	1714
197	421	1707
198	422	1701
199	423	1695
200	424	1688
201	425	1682
202	426	1676
203	428	1670
204	429	1666
205	432	1666
206	433	1662
207	435	1658
208	436	1653
209	437	1647
210	438	1641
211	439	1635
212	441	1629
213	442	1623
214	444	1621
215	445	1616
216	446	1612
217	447	1606
218	448	1600
219	449	1595
220	451	1589
221	452	1584
222	453	1579
223	454	1573
224	455	1568
225	456	1562
226	459	1563
227	460	1560
228	462	1556
229	463	1551
230	464	1547
231	466	1543
232	467	1539
233	468	1535
234	470	1531
235	480	1554
236	484	1558
237	488	1565
238	492	1566
239	493	1562
240	495	1559
241	496	1556
242	498	1552
243	499	1548
244	501	1546
245	503	1543
246	505	1539
247	506	1536
248	508	1533
249	509	1529
250	511	1525
251	512	1521
252	514	1518
253	515	1514
254	519	1519
255	522	1517
256	523	1513
257	525	1510
258	526	1506
259	528	1502
260	529	1500
261	533	1503
262	535	1501
263	537	1498
264	538	1494
265	540	1491
266	541	1487
267	543	1483
268	544	1479
269	546	1476
270	548	1475
271	549	1471
272	551	1467
273	552	1463
274	553	1459
275	554	1455
276	556	1451
277	557	1447
278	558	1442
279	559	1438
280	561	1435
281	562	1432
282	563	1428
283	565	1424
284	566	1420
285	567	1416
286	568	1413
287	569	1409
288	571	1405
289	572	1402
290	574	1400
291	577	1401
292	580	1400
293	582	1398
294	583	1395
295	585	1391
296	586	1388
297	587	1384
298	589	1382
299	591	1379
300	592	1376
301	594	1373
302	595	1369
303	596	1365
304	597	1361
305	598	1357
306	599	1353
307	600	1349
308	601	1345
309	603	1343
310	605	1341
311	606	1338
312	608	1335
313	609	1331
314	610	1327
315	611	1323
316	612	1320
317	613	1316
318	614	1312
319	615	1308
320	616	1304
321	618	1302
322	619	1299
323	621	1296
324	622	1292
325	623	1289
326	624	1285
327	625	1282
328	627	1279
329	628	1275
330	629	1272
331	630	1268
332	631	1265
333	633	1263
334	635	1261
335	637	1259
336	638	1256
337	639	1253
338	641	1249
339	642	1246
340	643	1243
341	644	1240
342	645	1236
343	650	1239
344	652	1239
345	654	1236
346	655	1232
347	656	1229
348	657	1225
349	658	1222
350	659	1218
351	660	1215
352	662	1213
353	663	1211
354	665	1208
355	666	1205
356	667	1202
357	668	1199
358	669	1196
359	670	1192
360	672	1189
361	673	1186
362	674	1182
363	675	1179
364	676	1177
365	678	1174
366	679	1171
367	680	1168
368	681	1165
369	682	1162
370	683	1159
371	684	1156
372	685	1153
373	686	1149
374	688	1147
375	689	1143
376	690	1141
377	692	1139
378	694	1137
379	695	1134
380	696	1131
381	697	1129
382	699	1126
383	700	1123
384	701	1120
385	702	1117
386	703	1114
387	704	1111
388	706	1109
389	707	1107
390	709	1104
391	710	1101
392	711	1099
393	712	1096
394	713	1093
395	715	1090
396	716	1088
397	717	1085
398	718	1082
399	720	1080
400	722	1079
401	723	1076
402	725	1074
403	726	1072
404	727	1069
405	729	1066
406	730	1063
407	731	1060
408	732	1057
409	733	1055
410	735	1053
411	736	1050
412	737	1048
413	738	1045
414	739	1043
415	741	1040
416	742	1037
417	743	1035
418	744	1032
419	745	1029
420	746	1026
421	747	1024
422	748	1021
423	750	1019
424	752	1017
425	753	1014
426	754	1012
427	755	1009
428	756	1006
429	757	1004
430	759	1002
431	760	999
432	761	997
433	762	995
434	764	993
435	766	991
436	767	989
437	769	987
438	770	984
439	771	982
440	772	979
441	773	976
442	774	974
443	776	972
444	777	969
445	781	970
446	782	968
447	784	966
448	785	964
449	787	961
450	788	959
451	789	956
452	790	954
453	791	951
454	792	949
455	794	947
456	795	945
457	796	942
458	797	940
459	799	938
460	800	935
461	801	933
462	802	930
463	803	928
464	804	925
465	805	923
466	806	920
467	808	919
468	810	917
469	811	914
470	812	912
471	813	910
472	815	908
473	816	905
474	817	903
475	818	900
476	819	898
477	820	895
478	822	894
479	824	892
480	825	890
481	827	889
482	828	886
483	829	884
484	831	882
485	832	880
486	833	877
487	834	875
488	835	872
489	838	872
490	841	872
491	843	870
492	844	868
493	846	867
494	847	864
495	848	862
496	849	860
497	851	857
498	852	856
499	853	853
500	855	852
501	856	849
502	857	847
503	858	845
504	859	842
505	860	840
506	861	837
507	862	835
508	863	833
509	864	830
510	866	829
511	868	827
512	870	825
513	871	823
514	872	821
515	873	819
516	874	817
517	876	815
518	877	812
519	878	810
520	879	808
521	880	806
522	883	805
523	884	803
524	886	802
525	887	799
526	888	797
527	889	795
528	891	793
529	892	791
530	893	788
531	895	787
532	897	786
533	898	784
534	900	782
535	901	780
536	902	778
537	903	776
538	904	773
539	905	771
540	906	769
541	908	767
542	909	765
543	911	763
544	912	761
545	914	760
546	915	758
547	916	756
548	917	753
549	918	751
550	920	749
551	921	747
552	922	745
553	923	743
554	925	742
555	927	740
556	928	738
557	930	736
558	931	734
559	932	732
560	933	730
561	935	728
562	937	727
563	938	725
564	940	723
565	941	722
566	943	720
567	944	718
568	945	716
569	946	714
570	947	711
571	948	709
572	949	707
573	951	705
574	952	703
575	954	702
576	955	700
577	957	699
578	958	697
579	960	695
580	961	693
581	962	691
582	963	689
583	964	687
584	965	684
585	966	682
586	967	680
587	969	679
588	970	677
589	971	675
590	973	673
591	974	671
592	975	669
593	977	667
594	978	666
595	980	664
596	981	662
597	983	660
598	984	659
599	1011	674
600	1017	675
601	1019	673
602	1022	673
603	1024	671
604	1027	670
605	1028	668
606	1033	668
607	1036	668
608	1038	667
609	1040	665
610	1041	663
611	1044	662
612	1046	660
613	1048	659
614	1050	657
615	1051	655
616	1053	653
617	1054	651
618	1057	650
619	1065	653
620	1067	651
621	1069	650
622	1072	648
623	1076	648
624	1080	648
625	1082	646
626	1083	644
627	1084	642
628	1085	640
629	1087	638
630	1089	637
631	1091	635
632	1092	633
633	1093	631
634	1095	629
635	1096	627
636	1097	625
637	1098	623
638	1099	621
639	1101	619
640	1104	618
641	1106	616
642	1107	615
643	1109	613
644	1110	611
645	1111	609
646	1112	607
647	1114	605
648	1115	603
649	1119	602
650	1122	601
651	1124	600
652	1125	598
653	1127	596
654	1129	594
655	1131	593
656	1136	593
657	1138	591
658	1139	589
659	1141	588
660	1142	586
661	1144	584
662	1145	582
663	1146	580
664	1148	578
665	1149	576
666	1151	574
667	1152	572
668	1154	571
669	1155	569
670	1156	567
671	1158	565
672	1159	563
673	1161	561
674	1163	560
675	1165	558
676	1166	556
677	1167	554
678	1169	552
679	1170	550
680	1172	549
681	1173	547
682	1176	546
683	1178	544
684	1179	542
685	1181	540
686	1182	538
687	1183	536
688	1184	534
689	1185	532
690	1186	530
691	1188	529
692	1192	528
693	1193	526
694	1195	524
695	1196	522
696	1198	520
697	1199	519
698	1200	517
699	1201	515
700	1202	512
701	1204	511
702	1205	509
703	1206	507
704	1208	505
705	1209	503
706	1210	501
707	1211	499
708	1213	497
709	1214	495
710	1215	493
711	1216	491
712	1217	490
713	1219	488
714	1221	486
715	1222	484
716	1223	482
717	1224	480
718	1226	479
719	1227	477
720	1228	475
721	1229	473
722	1230	471
723	1231	469
724	1232	467
725	1234	466
726	1236	464
727	1237	462
728	1239	460
729	1241	459
730	1242	457
731	1244	455
732	1245	453
733	1247	452
734	1249	450
735	1250	448
736	1252	446
737	1253	444
738	1254	443
739	1255	441
740	1256	439
741	1257	437
742	1258	435
743	1260	433
744	1263	432
745	1264	430
746	1266	428
747	1267	427
748	1269	425
749	1270	423
750	1271	421
751	1272	419
752	1273	417
753	1274	415
754	1275	414
755	1277	412
756	1278	410
757	1279	408
758	1280	406
759	1282	404
760	1283	403
761	1285	401
762	1286	399
763	1288	398
764	1290	396
765	1292	394
766	1293	393
767	1295	391
768	1296	389
769	1297	387
770	1299	385
771	1301	384
772	1302	382
773	1304	380
774	1305	378
775	1306	377
776	1307	375
777	1308	373
778	1310	371
779	1311	369
780	1312	368
781	1314	366
782	1315	364
783	1317	362
784	1318	361
785	1319	359
786	1320	357
787	1322	355
788	1323	353
789	1324	352
790	1325	350
791	1326	348
792	1329	346
793	1330	345
794	1332	343
795	1333	341
796	1334	339
797	1335	338
798	1336	336
799	1337	334
800	1339	332
801	1340	330
802	1341	329
803	1343	327
804	1345	325
805	1346	324
806	1347	322
807	1348	320
808	1349	318
809	1351	316
810	1352	315
811	1353	313
812	1354	311
813	1356	309
814	1359	308
815	1361	306
816	1362	305
817	1363	303
818	1365	301
819	1366	299
820	1367	298
821	1368	296
822	1369	294
823	1371	292
824	1372	291
825	1373	289
826	1375	287
827	1376	285
828	1377	284
829	1379	282
830	1380	280
831	1381	278
832	1382	277
833	1384	275
834	1386	274
835	1388	272
836	1390	270
837	1391	269
838	1393	267
839	1394	265
840	1395	263
841	1397	262
842	1398	260
843	1400	258
844	1402	257
845	1403	255
846	1404	253
847	1405	251
848	1406	250
849	1408	248
850	1409	246
851	1410	245
852	1411	243
853	1412	241
854	1413	239
855	1415	238
856	1416	236
857	1418	234
858	1420	233
859	1421	231
860	1423	229
861	1424	228
862	1425	226
863	1426	224
864	1427	222
865	1429	221
866	1431	219
867	1432	217
868	1434	216
869	1435	214
870	1436	212
871	1437	211
872	1438	209
873	1439	207
874	1441	205
875	1442	204
876	1443	202
877	1446	200
878	1447	199
879	1448	197
880	1449	195
881	1450	194
882	1452	192
883	1453	190
884	1454	188
885	1455	187
886	1456	185
887	1457	183
888	1459	182
889	1460	180
890	1461	178
891	1463	177
892	1464	175
893	1466	173
894	1467	172
895	1468	170
896	1470	168
897	1471	167
898	1473	165
899	1474	163
900	1476	162
901	1477	160
902	1478	158
903	1480	157
904	1481	155
905	1482	153
906	1483	152
907	1484	150
908	1485	148
909	1486	147
910	1488	145
911	1489	143
912	1490	142
913	1491	140
914	1493	138
915	1494	137
916	1495	135
917	1496	133
918	1497	131
919	1498	130
920	1499	128
921	1501	127
922	1503	125
923	1504	123
924	1505	122
925	1506	120
926	1508	118
927	1509	117
928	1510	115
929	1511	113
930	1512	112
931	1513	110
932	1514	108
933	1515	107
934	1517	105
935	1518	103
936	1520	102
937	1521	100
938	1522	98
939	1523	97
940	1524	95
941	1525	93
942	1526	92
943	1527	90
944	1528	88
945	1530	87
946	1531	85
947	1533	84
948	1534	82
949	1535	80
950	1536	79
951	1537	77
952	1538	75
953	1540	74
954	1541	72
955	1542	70
956	1543	69
957	1544	67
958	1547	66
959	1548	64
960	1550	62
961	1551	61
962	1553	59
963	1555	58
964	1556	56
965	1557	54
966	1558	53
967	1561	51
968	1562	49
969	1563	48
970	1565	46
971	1566	45
972	1568	43
973	1569	41
974	1570	40
975	1571	38
976	1572	37
977	1574	35
978	1575	33
979	1577	32
980	1579	30
981	1580	28
982	1581	27
983	1582	25
984	1583	24
985	1584	22
986	1585	20
987	1586	19
988	1589	17
989	1592	16
990	1593	14
991	1595	12
992	1596	11
993	1597	9
994	1598	8
995	1599	6
996	1600	4
997	1602	3
998	1604	1
999	1605	0
